"","País","Ano","Sexo","Idade","Suicidios","População","Suicidios por 100 mil habitantes","IDH","PIB per capita"
"32","Albania",1989,"Feminino","25 à 34 anos",2,266300,0.75,NA,833
"33","Albania",1989,"Feminino","55 à 74 anos",1,149600,0.67,NA,833
"34","Albania",1989,"Feminino","5 à 14 anos",0,321900,0,NA,833
"35","Albania",1989,"Feminino","75 anos ou mais",0,37000,0,NA,833
"36","Albania",1989,"Masculino","5 à 14 anos",0,349700,0,NA,833
"37","Albania",1992,"Masculino","35 à 54 anos",12,343800,3.49,NA,251
"38","Albania",1992,"Masculino","15 à 24 anos",9,263700,3.41,NA,251
"39","Albania",1992,"Masculino","55 à 74 anos",5,159500,3.13,NA,251
"40","Albania",1992,"Masculino","25 à 34 anos",7,245500,2.85,NA,251
"41","Albania",1992,"Feminino","15 à 24 anos",7,292400,2.39,NA,251
"42","Albania",1992,"Feminino","25 à 34 anos",4,267400,1.5,NA,251
"43","Albania",1992,"Feminino","35 à 54 anos",2,323100,0.62,NA,251
"44","Albania",1992,"Feminino","55 à 74 anos",1,164900,0.61,NA,251
"45","Albania",1992,"Feminino","5 à 14 anos",0,336700,0,NA,251
"46","Albania",1992,"Feminino","75 anos ou mais",0,38700,0,NA,251
"47","Albania",1992,"Masculino","5 à 14 anos",0,362900,0,NA,251
"48","Albania",1992,"Masculino","75 anos ou mais",0,23900,0,NA,251
"49","Albania",1993,"Masculino","15 à 24 anos",18,243300,7.4,NA,437
"50","Albania",1993,"Masculino","55 à 74 anos",7,165000,4.24,NA,437
"51","Albania",1993,"Masculino","75 anos ou mais",1,24200,4.13,NA,437
"52","Albania",1993,"Masculino","25 à 34 anos",9,230100,3.91,NA,437
"53","Albania",1993,"Feminino","15 à 24 anos",10,285300,3.51,NA,437
"54","Albania",1993,"Masculino","35 à 54 anos",10,350300,2.85,NA,437
"55","Albania",1993,"Feminino","25 à 34 anos",7,261800,2.67,NA,437
"56","Albania",1993,"Feminino","35 à 54 anos",7,331200,2.11,NA,437
"57","Albania",1993,"Feminino","55 à 74 anos",2,169500,1.18,NA,437
"58","Albania",1993,"Feminino","5 à 14 anos",1,340300,0.29,NA,437
"59","Albania",1993,"Masculino","5 à 14 anos",1,367000,0.27,NA,437
"60","Albania",1993,"Feminino","75 anos ou mais",0,39300,0,NA,437
"61","Albania",1994,"Masculino","75 anos ou mais",2,24600,8.13,NA,697
"62","Albania",1994,"Masculino","55 à 74 anos",11,171400,6.42,NA,697
"63","Albania",1994,"Feminino","75 anos ou mais",2,39900,5.01,NA,697
"64","Albania",1994,"Masculino","25 à 34 anos",6,231400,2.59,NA,697
"65","Albania",1994,"Masculino","35 à 54 anos",9,362800,2.48,NA,697
"66","Albania",1994,"Masculino","15 à 24 anos",6,242200,2.48,NA,697
"67","Albania",1994,"Feminino","15 à 24 anos",6,282600,2.12,NA,697
"68","Albania",1994,"Feminino","25 à 34 anos",4,261100,1.53,NA,697
"69","Albania",1994,"Feminino","35 à 54 anos",2,342500,0.58,NA,697
"70","Albania",1994,"Feminino","55 à 74 anos",1,174600,0.57,NA,697
"71","Albania",1994,"Masculino","5 à 14 anos",1,371800,0.27,NA,697
"72","Albania",1994,"Feminino","5 à 14 anos",0,344400,0,NA,697
"73","Albania",1995,"Masculino","25 à 34 anos",13,232900,5.58,0.619,835
"74","Albania",1995,"Masculino","55 à 74 anos",9,178000,5.06,0.619,835
"75","Albania",1995,"Feminino","75 anos ou mais",2,40800,4.9,0.619,835
"76","Albania",1995,"Feminino","15 à 24 anos",13,283500,4.59,0.619,835
"77","Albania",1995,"Masculino","15 à 24 anos",11,241200,4.56,0.619,835
"78","Albania",1995,"Masculino","75 anos ou mais",1,25100,3.98,0.619,835
"79","Albania",1995,"Masculino","35 à 54 anos",14,375900,3.72,0.619,835
"80","Albania",1995,"Feminino","25 à 34 anos",7,264000,2.65,0.619,835
"81","Albania",1995,"Feminino","35 à 54 anos",8,356400,2.24,0.619,835
"82","Albania",1995,"Masculino","5 à 14 anos",6,376500,1.59,0.619,835
"83","Albania",1995,"Feminino","55 à 74 anos",2,180400,1.11,0.619,835
"84","Albania",1995,"Feminino","5 à 14 anos",2,348700,0.57,0.619,835
"85","Albania",1996,"Masculino","75 anos ou mais",2,25400,7.87,NA,1127
"86","Albania",1996,"Masculino","15 à 24 anos",17,243600,6.98,NA,1127
"87","Albania",1996,"Masculino","25 à 34 anos",14,235300,5.95,NA,1127
"88","Albania",1996,"Feminino","15 à 24 anos",16,287700,5.56,NA,1127
"89","Albania",1996,"Feminino","75 anos ou mais",2,41200,4.85,NA,1127
"90","Albania",1996,"Feminino","25 à 34 anos",10,267900,3.73,NA,1127
"91","Albania",1996,"Masculino","35 à 54 anos",12,379600,3.16,NA,1127
"92","Albania",1996,"Feminino","35 à 54 anos",9,362000,2.49,NA,1127
"93","Albania",1996,"Masculino","55 à 74 anos",3,179900,1.67,NA,1127
"94","Albania",1996,"Feminino","55 à 74 anos",1,183100,0.55,NA,1127
"95","Albania",1996,"Masculino","5 à 14 anos",2,380400,0.53,NA,1127
"96","Albania",1996,"Feminino","5 à 14 anos",1,354100,0.28,NA,1127
"97","Albania",1997,"Masculino","25 à 34 anos",36,236000,15.25,NA,793
"98","Albania",1997,"Masculino","15 à 24 anos",33,244400,13.5,NA,793
"99","Albania",1997,"Masculino","75 anos ou mais",3,25400,11.81,NA,793
"100","Albania",1997,"Masculino","35 à 54 anos",30,380800,7.88,NA,793
"101","Albania",1997,"Feminino","15 à 24 anos",21,294000,7.14,NA,793
"102","Albania",1997,"Masculino","55 à 74 anos",12,180300,6.66,NA,793
"103","Albania",1997,"Feminino","25 à 34 anos",16,273900,5.84,NA,793
"104","Albania",1997,"Feminino","75 anos ou mais",2,42100,4.75,NA,793
"105","Albania",1997,"Feminino","35 à 54 anos",7,370100,1.89,NA,793
"106","Albania",1997,"Feminino","5 à 14 anos",6,361800,1.66,NA,793
"107","Albania",1997,"Masculino","5 à 14 anos",4,381500,1.05,NA,793
"108","Albania",1997,"Feminino","55 à 74 anos",0,187000,0,NA,793
"109","Albania",1998,"Masculino","75 anos ou mais",3,25800,11.63,NA,899
"110","Albania",1998,"Masculino","15 à 24 anos",27,248800,10.85,NA,899
"111","Albania",1998,"Feminino","15 à 24 anos",32,295600,10.83,NA,899
"112","Albania",1998,"Masculino","25 à 34 anos",26,240400,10.82,NA,899
"113","Albania",1998,"Masculino","35 à 54 anos",29,388200,7.47,NA,899
"114","Albania",1998,"Masculino","55 à 74 anos",9,183800,4.9,NA,899
"115","Albania",1998,"Feminino","25 à 34 anos",10,275300,3.63,NA,899
"116","Albania",1998,"Feminino","55 à 74 anos",6,188200,3.19,NA,899
"117","Albania",1998,"Feminino","35 à 54 anos",9,372100,2.42,NA,899
"118","Albania",1998,"Masculino","5 à 14 anos",2,388400,0.51,NA,899
"119","Albania",1998,"Feminino","5 à 14 anos",1,363800,0.27,NA,899
"120","Albania",1998,"Feminino","75 anos ou mais",0,42300,0,NA,899
"121","Albania",1999,"Masculino","75 anos ou mais",3,25900,11.58,NA,1127
"122","Albania",1999,"Masculino","15 à 24 anos",24,250600,9.58,NA,1127
"123","Albania",1999,"Feminino","75 anos ou mais",4,42400,9.43,NA,1127
"124","Albania",1999,"Masculino","35 à 54 anos",31,391100,7.93,NA,1127
"125","Albania",1999,"Masculino","25 à 34 anos",19,242300,7.84,NA,1127
"126","Albania",1999,"Masculino","55 à 74 anos",14,185200,7.56,NA,1127
"127","Albania",1999,"Feminino","15 à 24 anos",19,296800,6.4,NA,1127
"128","Albania",1999,"Feminino","25 à 34 anos",13,276500,4.7,NA,1127
"129","Albania",1999,"Feminino","55 à 74 anos",6,188800,3.18,NA,1127
"130","Albania",1999,"Feminino","35 à 54 anos",5,373600,1.34,NA,1127
"131","Albania",1999,"Feminino","5 à 14 anos",1,365200,0.27,NA,1127
"132","Albania",1999,"Masculino","5 à 14 anos",0,391300,0,NA,1127
"133","Albania",2000,"Masculino","25 à 34 anos",17,232000,7.33,0.656,1299
"134","Albania",2000,"Masculino","55 à 74 anos",10,177400,5.64,0.656,1299
"135","Albania",2000,"Feminino","75 anos ou mais",2,37800,5.29,0.656,1299
"136","Albania",2000,"Masculino","75 anos ou mais",1,24900,4.02,0.656,1299
"137","Albania",2000,"Feminino","15 à 24 anos",6,263900,2.27,0.656,1299
"138","Albania",2000,"Masculino","15 à 24 anos",5,240000,2.08,0.656,1299
"139","Albania",2000,"Feminino","35 à 54 anos",5,332200,1.51,0.656,1299
"140","Albania",2000,"Feminino","25 à 34 anos",3,245800,1.22,0.656,1299
"141","Albania",2000,"Masculino","35 à 54 anos",4,374700,1.07,0.656,1299
"142","Albania",2000,"Masculino","5 à 14 anos",1,374900,0.27,0.656,1299
"143","Albania",2000,"Feminino","5 à 14 anos",0,324700,0,0.656,1299
"144","Albania",2000,"Feminino","55 à 74 anos",0,168000,0,0.656,1299
"145","Albania",2001,"Masculino","25 à 34 anos",22,206484,10.65,NA,1451
"146","Albania",2001,"Masculino","35 à 54 anos",34,378826,8.98,NA,1451
"147","Albania",2001,"Masculino","55 à 74 anos",11,196670,5.59,NA,1451
"148","Albania",2001,"Feminino","75 anos ou mais",2,47254,4.23,NA,1451
"149","Albania",2001,"Masculino","15 à 24 anos",10,256039,3.91,NA,1451
"150","Albania",2001,"Feminino","15 à 24 anos",9,271359,3.32,NA,1451
"151","Albania",2001,"Feminino","35 à 54 anos",12,370191,3.24,NA,1451
"152","Albania",2001,"Masculino","75 anos ou mais",1,31044,3.22,NA,1451
"153","Albania",2001,"Feminino","55 à 74 anos",6,189799,3.16,NA,1451
"154","Albania",2001,"Masculino","5 à 14 anos",6,321556,1.87,NA,1451
"155","Albania",2001,"Feminino","25 à 34 anos",4,222771,1.8,NA,1451
"156","Albania",2001,"Feminino","5 à 14 anos",2,307356,0.65,NA,1451
"157","Albania",2002,"Masculino","75 anos ou mais",4,31007,12.9,NA,1573
"158","Albania",2002,"Masculino","25 à 34 anos",23,206286,11.15,NA,1573
"159","Albania",2002,"Masculino","35 à 54 anos",35,382139,9.16,NA,1573
"160","Albania",2002,"Masculino","55 à 74 anos",13,198130,6.56,NA,1573
"161","Albania",2002,"Masculino","15 à 24 anos",15,263067,5.7,NA,1573
"162","Albania",2002,"Feminino","15 à 24 anos",14,275970,5.07,NA,1573
"163","Albania",2002,"Feminino","35 à 54 anos",15,375113,4,NA,1573
"164","Albania",2002,"Feminino","25 à 34 anos",7,223685,3.13,NA,1573
"165","Albania",2002,"Feminino","75 anos ou mais",1,47407,2.11,NA,1573
"166","Albania",2002,"Feminino","55 à 74 anos",4,191712,2.09,NA,1573
"167","Albania",2002,"Feminino","5 à 14 anos",1,304850,0.33,NA,1573
"168","Albania",2002,"Masculino","5 à 14 anos",1,319473,0.31,NA,1573
"169","Albania",2003,"Feminino","75 anos ou mais",6,49088,12.22,NA,2021
"170","Albania",2003,"Masculino","55 à 74 anos",16,201520,7.94,NA,2021
"171","Albania",2003,"Masculino","35 à 54 anos",28,386196,7.25,NA,2021
"172","Albania",2003,"Masculino","15 à 24 anos",15,273235,5.49,NA,2021
"173","Albania",2003,"Feminino","15 à 24 anos",14,283709,4.93,NA,2021
"174","Albania",2003,"Feminino","55 à 74 anos",9,195699,4.6,NA,2021
"175","Albania",2003,"Masculino","25 à 34 anos",9,205433,4.38,NA,2021
"176","Albania",2003,"Feminino","25 à 34 anos",9,222941,4.04,NA,2021
"177","Albania",2003,"Feminino","35 à 54 anos",13,381760,3.41,NA,2021
"178","Albania",2003,"Masculino","75 anos ou mais",1,32667,3.06,NA,2021
"179","Albania",2003,"Masculino","5 à 14 anos",4,313204,1.28,NA,2021
"180","Albania",2003,"Feminino","5 à 14 anos",0,298477,0,NA,2021
"181","Albania",2004,"Masculino","75 anos ou mais",4,35526,11.26,NA,2544
"182","Albania",2004,"Masculino","35 à 54 anos",39,391767,9.95,NA,2544
"183","Albania",2004,"Masculino","25 à 34 anos",16,203938,7.85,NA,2544
"184","Albania",2004,"Feminino","15 à 24 anos",20,292268,6.84,NA,2544
"185","Albania",2004,"Masculino","15 à 24 anos",19,286768,6.63,NA,2544
"186","Albania",2004,"Feminino","75 anos ou mais",3,50970,5.89,NA,2544
"187","Albania",2004,"Feminino","25 à 34 anos",11,222389,4.95,NA,2544
"188","Albania",2004,"Masculino","55 à 74 anos",10,207202,4.83,NA,2544
"189","Albania",2004,"Feminino","35 à 54 anos",17,391436,4.34,NA,2544
"190","Albania",2004,"Feminino","55 à 74 anos",3,203841,1.47,NA,2544
"191","Albania",2004,"Feminino","5 à 14 anos",3,286705,1.05,NA,2544
"192","Albania",2004,"Masculino","5 à 14 anos",1,302181,0.33,NA,2544
"193","Albania",2005,"Feminino","15 à 24 anos",0,281922,0,0.695,2931
"194","Albania",2005,"Feminino","25 à 34 anos",0,190745,0,0.695,2931
"195","Albania",2005,"Feminino","35 à 54 anos",0,386513,0,0.695,2931
"196","Albania",2005,"Feminino","5 à 14 anos",0,276559,0,0.695,2931
"197","Albania",2005,"Feminino","55 à 74 anos",0,210998,0,0.695,2931
"198","Albania",2005,"Feminino","75 anos ou mais",0,53191,0,0.695,2931
"199","Albania",2005,"Masculino","15 à 24 anos",0,281675,0,0.695,2931
"200","Albania",2005,"Masculino","25 à 34 anos",0,177519,0,0.695,2931
"201","Albania",2005,"Masculino","35 à 54 anos",0,380242,0,0.695,2931
"202","Albania",2005,"Masculino","5 à 14 anos",0,291367,0,0.695,2931
"203","Albania",2005,"Masculino","55 à 74 anos",0,214118,0,0.695,2931
"204","Albania",2005,"Masculino","75 anos ou mais",0,38471,0,0.695,2931
"205","Albania",2006,"Feminino","15 à 24 anos",0,283138,0,NA,3235
"206","Albania",2006,"Feminino","25 à 34 anos",0,186391,0,NA,3235
"207","Albania",2006,"Feminino","35 à 54 anos",0,388746,0,NA,3235
"208","Albania",2006,"Feminino","5 à 14 anos",0,267316,0,NA,3235
"209","Albania",2006,"Feminino","55 à 74 anos",0,215907,0,NA,3235
"210","Albania",2006,"Feminino","75 anos ou mais",0,56011,0,NA,3235
"211","Albania",2006,"Masculino","15 à 24 anos",0,286679,0,NA,3235
"212","Albania",2006,"Masculino","25 à 34 anos",0,174092,0,NA,3235
"213","Albania",2006,"Masculino","35 à 54 anos",0,379076,0,NA,3235
"214","Albania",2006,"Masculino","5 à 14 anos",0,282678,0,NA,3235
"215","Albania",2006,"Masculino","55 à 74 anos",0,219360,0,NA,3235
"216","Albania",2006,"Masculino","75 anos ou mais",0,40782,0,NA,3235
"217","Albania",2007,"Masculino","75 anos ou mais",8,42366,18.88,NA,3863
"218","Albania",2007,"Masculino","35 à 54 anos",29,378626,7.66,NA,3863
"219","Albania",2007,"Masculino","55 à 74 anos",14,224160,6.25,NA,3863
"220","Albania",2007,"Feminino","75 anos ou mais",3,57404,5.23,NA,3863
"221","Albania",2007,"Masculino","25 à 34 anos",9,172494,5.22,NA,3863
"222","Albania",2007,"Feminino","15 à 24 anos",13,281080,4.63,NA,3863
"223","Albania",2007,"Masculino","15 à 24 anos",13,288349,4.51,NA,3863
"224","Albania",2007,"Feminino","25 à 34 anos",8,183629,4.36,NA,3863
"225","Albania",2007,"Feminino","55 à 74 anos",9,221120,4.07,NA,3863
"226","Albania",2007,"Feminino","35 à 54 anos",14,391811,3.57,NA,3863
"227","Albania",2007,"Masculino","5 à 14 anos",4,272497,1.47,NA,3863
"228","Albania",2007,"Feminino","5 à 14 anos",0,256808,0,NA,3863
"229","Albania",2008,"Masculino","25 à 34 anos",21,172855,12.15,NA,4672
"230","Albania",2008,"Masculino","35 à 54 anos",37,377119,9.81,NA,4672
"231","Albania",2008,"Masculino","55 à 74 anos",21,228672,9.18,NA,4672
"232","Albania",2008,"Feminino","75 anos ou mais",5,59369,8.42,NA,4672
"233","Albania",2008,"Feminino","15 à 24 anos",20,276073,7.24,NA,4672
"234","Albania",2008,"Feminino","25 à 34 anos",9,182663,4.93,NA,4672
"235","Albania",2008,"Feminino","35 à 54 anos",19,393832,4.82,NA,4672
"236","Albania",2008,"Masculino","75 anos ou mais",2,44574,4.49,NA,4672
"237","Albania",2008,"Masculino","15 à 24 anos",11,286702,3.84,NA,4672
"238","Albania",2008,"Feminino","55 à 74 anos",7,226448,3.09,NA,4672
"239","Albania",2008,"Masculino","5 à 14 anos",7,262464,2.67,NA,4672
"240","Albania",2008,"Feminino","5 à 14 anos",1,246288,0.41,NA,4672
"241","Albania",2009,"Feminino","15 à 24 anos",0,270003,0,NA,4387
"242","Albania",2009,"Feminino","25 à 34 anos",0,182712,0,NA,4387
"243","Albania",2009,"Feminino","35 à 54 anos",0,394286,0,NA,4387
"244","Albania",2009,"Feminino","5 à 14 anos",0,236174,0,NA,4387
"245","Albania",2009,"Feminino","55 à 74 anos",0,233302,0,NA,4387
"246","Albania",2009,"Feminino","75 anos ou mais",0,61582,0,NA,4387
"247","Albania",2009,"Masculino","15 à 24 anos",0,283448,0,NA,4387
"248","Albania",2009,"Masculino","25 à 34 anos",0,174955,0,NA,4387
"249","Albania",2009,"Masculino","35 à 54 anos",0,374365,0,NA,4387
"250","Albania",2009,"Masculino","5 à 14 anos",0,253007,0,NA,4387
"251","Albania",2009,"Masculino","55 à 74 anos",0,234570,0,NA,4387
"252","Albania",2009,"Masculino","75 anos ou mais",0,47331,0,NA,4387
"253","Albania",2010,"Masculino","55 à 74 anos",20,241852,8.27,0.722,4359
"254","Albania",2010,"Masculino","35 à 54 anos",20,371611,5.38,0.722,4359
"255","Albania",2010,"Masculino","25 à 34 anos",9,179720,5.01,0.722,4359
"256","Albania",2010,"Masculino","75 anos ou mais",2,50767,3.94,0.722,4359
"257","Albania",2010,"Masculino","15 à 24 anos",10,279508,3.58,0.722,4359
"258","Albania",2010,"Feminino","25 à 34 anos",6,183579,3.27,0.722,4359
"259","Albania",2010,"Feminino","75 anos ou mais",2,64415,3.1,0.722,4359
"260","Albania",2010,"Feminino","35 à 54 anos",12,394593,3.04,0.722,4359
"261","Albania",2010,"Feminino","55 à 74 anos",7,241491,2.9,0.722,4359
"262","Albania",2010,"Feminino","15 à 24 anos",6,263581,2.28,0.722,4359
"263","Albania",2010,"Feminino","5 à 14 anos",2,223969,0.89,0.722,4359
"264","Albania",2010,"Masculino","5 à 14 anos",0,240939,0,0.722,4359
"265","Antigua and Barbuda",1985,"Feminino","15 à 24 anos",0,7709,0,NA,3850
"266","Antigua and Barbuda",1985,"Feminino","25 à 34 anos",0,6344,0,NA,3850
"267","Antigua and Barbuda",1985,"Feminino","35 à 54 anos",0,6173,0,NA,3850
"268","Antigua and Barbuda",1985,"Feminino","5 à 14 anos",0,7339,0,NA,3850
"269","Antigua and Barbuda",1985,"Feminino","55 à 74 anos",0,3778,0,NA,3850
"270","Antigua and Barbuda",1985,"Feminino","75 anos ou mais",0,949,0,NA,3850
"271","Antigua and Barbuda",1985,"Masculino","15 à 24 anos",0,7667,0,NA,3850
"272","Antigua and Barbuda",1985,"Masculino","25 à 34 anos",0,6194,0,NA,3850
"273","Antigua and Barbuda",1985,"Masculino","35 à 54 anos",0,5970,0,NA,3850
"274","Antigua and Barbuda",1985,"Masculino","5 à 14 anos",0,7304,0,NA,3850
"275","Antigua and Barbuda",1985,"Masculino","55 à 74 anos",0,2723,0,NA,3850
"276","Antigua and Barbuda",1985,"Masculino","75 anos ou mais",0,424,0,NA,3850
"277","Antigua and Barbuda",1986,"Feminino","15 à 24 anos",0,7668,0,NA,4740
"278","Antigua and Barbuda",1986,"Feminino","25 à 34 anos",0,6209,0,NA,4740
"279","Antigua and Barbuda",1986,"Feminino","35 à 54 anos",0,6101,0,NA,4740
"280","Antigua and Barbuda",1986,"Feminino","5 à 14 anos",0,6907,0,NA,4740
"281","Antigua and Barbuda",1986,"Feminino","55 à 74 anos",0,3764,0,NA,4740
"282","Antigua and Barbuda",1986,"Feminino","75 anos ou mais",0,1014,0,NA,4740
"283","Antigua and Barbuda",1986,"Masculino","15 à 24 anos",0,7563,0,NA,4740
"284","Antigua and Barbuda",1986,"Masculino","25 à 34 anos",0,6023,0,NA,4740
"285","Antigua and Barbuda",1986,"Masculino","35 à 54 anos",0,5947,0,NA,4740
"286","Antigua and Barbuda",1986,"Masculino","5 à 14 anos",0,6827,0,NA,4740
"287","Antigua and Barbuda",1986,"Masculino","55 à 74 anos",0,2771,0,NA,4740
"288","Antigua and Barbuda",1986,"Masculino","75 anos ou mais",0,476,0,NA,4740
"289","Antigua and Barbuda",1987,"Feminino","15 à 24 anos",0,7583,0,NA,5595
"290","Antigua and Barbuda",1987,"Feminino","25 à 34 anos",0,6101,0,NA,5595
"291","Antigua and Barbuda",1987,"Feminino","35 à 54 anos",0,6059,0,NA,5595
"292","Antigua and Barbuda",1987,"Feminino","5 à 14 anos",0,6623,0,NA,5595
"293","Antigua and Barbuda",1987,"Feminino","55 à 74 anos",0,3738,0,NA,5595
"294","Antigua and Barbuda",1987,"Feminino","75 anos ou mais",0,1081,0,NA,5595
"295","Antigua and Barbuda",1987,"Masculino","15 à 24 anos",0,7421,0,NA,5595
"296","Antigua and Barbuda",1987,"Masculino","25 à 34 anos",0,5893,0,NA,5595
"297","Antigua and Barbuda",1987,"Masculino","35 à 54 anos",0,5927,0,NA,5595
"298","Antigua and Barbuda",1987,"Masculino","5 à 14 anos",0,6499,0,NA,5595
"299","Antigua and Barbuda",1987,"Masculino","55 à 74 anos",0,2798,0,NA,5595
"300","Antigua and Barbuda",1987,"Masculino","75 anos ou mais",0,538,0,NA,5595
"301","Antigua and Barbuda",1988,"Feminino","15 à 24 anos",0,7413,0,NA,6693
"302","Antigua and Barbuda",1988,"Feminino","25 à 34 anos",0,6041,0,NA,6693
"303","Antigua and Barbuda",1988,"Feminino","35 à 54 anos",0,6021,0,NA,6693
"304","Antigua and Barbuda",1988,"Feminino","5 à 14 anos",0,6527,0,NA,6693
"305","Antigua and Barbuda",1988,"Feminino","55 à 74 anos",0,3708,0,NA,6693
"306","Antigua and Barbuda",1988,"Feminino","75 anos ou mais",0,1141,0,NA,6693
"307","Antigua and Barbuda",1988,"Masculino","15 à 24 anos",0,7209,0,NA,6693
"308","Antigua and Barbuda",1988,"Masculino","25 à 34 anos",0,5826,0,NA,6693
"309","Antigua and Barbuda",1988,"Masculino","35 à 54 anos",0,5907,0,NA,6693
"310","Antigua and Barbuda",1988,"Masculino","5 à 14 anos",0,6355,0,NA,6693
"311","Antigua and Barbuda",1988,"Masculino","55 à 74 anos",0,2813,0,NA,6693
"312","Antigua and Barbuda",1988,"Masculino","75 anos ou mais",0,603,0,NA,6693
"313","Antigua and Barbuda",1989,"Feminino","15 à 24 anos",0,7152,0,NA,7407
"314","Antigua and Barbuda",1989,"Feminino","25 à 34 anos",0,6059,0,NA,7407
"315","Antigua and Barbuda",1989,"Feminino","35 à 54 anos",0,5969,0,NA,7407
"316","Antigua and Barbuda",1989,"Feminino","5 à 14 anos",0,6621,0,NA,7407
"317","Antigua and Barbuda",1989,"Feminino","55 à 74 anos",0,3696,0,NA,7407
"318","Antigua and Barbuda",1989,"Feminino","75 anos ou mais",0,1195,0,NA,7407
"319","Antigua and Barbuda",1989,"Masculino","15 à 24 anos",0,6927,0,NA,7407
"320","Antigua and Barbuda",1989,"Masculino","25 à 34 anos",0,5835,0,NA,7407
"321","Antigua and Barbuda",1989,"Masculino","35 à 54 anos",0,5862,0,NA,7407
"322","Antigua and Barbuda",1989,"Masculino","5 à 14 anos",0,6403,0,NA,7407
"323","Antigua and Barbuda",1989,"Masculino","55 à 74 anos",0,2843,0,NA,7407
"324","Antigua and Barbuda",1989,"Masculino","75 anos ou mais",0,676,0,NA,7407
"325","Antigua and Barbuda",1990,"Masculino","35 à 54 anos",1,5799,17.24,NA,7744
"326","Antigua and Barbuda",1990,"Feminino","15 à 24 anos",0,6827,0,NA,7744
"327","Antigua and Barbuda",1990,"Feminino","25 à 34 anos",0,6172,0,NA,7744
"328","Antigua and Barbuda",1990,"Feminino","35 à 54 anos",0,5895,0,NA,7744
"329","Antigua and Barbuda",1990,"Feminino","5 à 14 anos",0,6877,0,NA,7744
"330","Antigua and Barbuda",1990,"Feminino","55 à 74 anos",0,3706,0,NA,7744
"331","Antigua and Barbuda",1990,"Feminino","75 anos ou mais",0,1252,0,NA,7744
"332","Antigua and Barbuda",1990,"Masculino","15 à 24 anos",0,6598,0,NA,7744
"333","Antigua and Barbuda",1990,"Masculino","25 à 34 anos",0,5937,0,NA,7744
"334","Antigua and Barbuda",1990,"Masculino","5 à 14 anos",0,6611,0,NA,7744
"335","Antigua and Barbuda",1990,"Masculino","55 à 74 anos",0,2902,0,NA,7744
"336","Antigua and Barbuda",1990,"Masculino","75 anos ou mais",0,758,0,NA,7744
"337","Antigua and Barbuda",1991,"Feminino","15 à 24 anos",0,6595,0,NA,7976
"338","Antigua and Barbuda",1991,"Feminino","25 à 34 anos",0,6396,0,NA,7976
"339","Antigua and Barbuda",1991,"Feminino","35 à 54 anos",0,6198,0,NA,7976
"340","Antigua and Barbuda",1991,"Feminino","5 à 14 anos",0,7089,0,NA,7976
"341","Antigua and Barbuda",1991,"Feminino","55 à 74 anos",0,3665,0,NA,7976
"342","Antigua and Barbuda",1991,"Feminino","75 anos ou mais",0,1293,0,NA,7976
